epoch,kWh
1777968000,0.124
1777969800,0.188
1777971600,0.054
1777973400,0.171
1777975200,0.86
1777977000,1.733
1777978800,1.368
1777980600,0.185
1777982400,0.287
1777984200,0.196
1777986000,0.237
1777987800,0.23
1777989600,0.139
1777991400,0.402
1777993200,0.27
1777995000,0.405
1777996800,1.055
1777998600,0.382
1778000400,0.199
1778002200,0.194
1778004000,0.037
1778005800,0.16
1778007600,0.232
1778009400,0.203
1778011200,0.505
1778013000,1.214
1778014800,0.208
1778016600,0.232
1778018400,0.313
1778020200,0.895
1778022000,0.347
1778023800,0.608
1778025600,0.155
1778027400,0.135
1778029200,0.124
1778031000,0.13
1778032800,0.071
1778034600,0.081
1778036400,0.1
1778038200,0.098
1778040000,0.098
1778041800,0.062
1778043600,0.058
1778045400,0.058
1778047200,0.071
1778049000,0.064
1778050800,0.227
1778052600,0.227
1778054400,0.098
1778056200,0.212
1778058000,0.215
1778059800,1.213
1778061600,0.956
1778063400,0.568
1778065200,2.14
1778067000,1.346
1778068800,0.593
1778070600,1.193
1778072400,0.164
1778074200,0.138
1778076000,0.165
1778077800,0.135
1778079600,0.151
1778081400,0.225
1778083200,0.134
1778085000,0.124
1778086800,1.479
1778088600,0.632
1778090400,0.199
1778092200,0.204
1778094000,0.285
1778095800,0.187
1778097600,0.171
1778099400,0.167
1778101200,0.134
1778103000,0.13
1778104800,0.107
1778106600,0.11
1778108400,0.118
1778110200,0.11
1778112000,0.111
1778113800,0.102
1778115600,0.101
1778117400,0.107
1778119200,0.101
1778121000,0.099
1778122800,0.099
1778124600,0.099
1778126400,0.097
1778128200,0.06
1778130000,0.06
1778131800,0.06
1778133600,0.07
1778135400,0.13
1778137200,0.097
1778139000,0.074
1778140800,0.067
1778142600,0.046
1778144400,0.045
1778146200,0.103
1778148000,0.152
1778149800,0.161
1778151600,0.177
1778153400,0.194
1778155200,0.192
1778157000,0.206
1778158800,0.216
1778160600,0.428
1778162400,0.119
1778164200,0.308
1778166000,0.132
1778167800,0.099
1778169600,0.1
1778171400,0.177
1778173200,0.153
1778175000,0.143
1778176800,0.327
1778178600,0.171
1778180400,0.426
1778182200,0.295
1778184000,0.19
1778185800,0.224
1778187600,0.248
1778189400,0.161
1778191200,0.163
1778193000,0.178
1778194800,0.163
1778196600,0.142
1778198400,0.14
1778200200,0.22
1778202000,0.208
1778203800,0.205
1778205600,0.184
1778207400,0.171
1778209200,0.171
1778211000,0.171
1778212800,0.184
1778214600,0.162
1778216400,0.436
1778218200,1.188
1778220000,0.155
1778221800,0.114
1778223600,0.158
1778225400,0.175
